,Sample,AminoSugar,Carb,ConcHC,Lignin,Lipid,Other,Protein,Tannin,UnsatHC,SumAllCompounds
3,S19S_0006_Wat,58,13,143,1120,50,7,224,221,4,1840
5,S19S_0008_Wat,37,7,196,1034,24,7,175,254,14,1748
6,S19S_0010_Wat,73,13,242,1346,37,6,231,355,15,2318
7,S19S_0011_Wat,101,45,276,1269,65,7,316,371,16,2466
8,S19S_0012_Wat,46,11,273,1140,19,6,162,340,10,2007
10,S19S_0014_Wat,53,15,41,970,30,6,213,47,4,1379
11,S19S_0015_Wat,83,27,260,1274,57,5,298,361,9,2374
12,S19S_0016_Wat,20,5,51,1144,27,10,153,54,12,1476
13,S19S_0017_Wat,65,14,257,1230,21,4,196,323,9,2119
14,S19S_0020_Wat,78,25,303,1375,36,9,234,401,15,2476
15,S19S_0021_Wat,92,34,259,1375,57,6,303,327,20,2473
16,S19S_0022_Wat,40,4,166,900,22,3,155,209,4,1503
17,S19S_0023_Wat,48,7,227,1121,22,4,157,315,8,1909
19,S19S_0026_Wat,37,4,179,886,15,6,120,250,2,1499
20,S19S_0027_Wat,36,2,148,1113,15,4,133,301,12,1764
21,S19S_0028_Wat,9,5,124,1209,15,5,82,214,12,1675
22,S19S_0031_Wat,32,4,87,745,29,11,114,167,1,1190
23,S19S_0032_Wat,56,9,266,1175,43,11,218,319,20,2117
24,S19S_0034_Wat,29,3,151,1088,20,6,133,241,9,1680
25,S19S_0035_Wat,49,17,298,1234,21,6,146,394,14,2179
27,S19S_0038_Wat,26,2,51,641,16,4,99,126,1,966
28,S19S_0039_Wat,152,99,294,1396,82,11,417,370,10,2831
29,S19S_0041_Wat,40,7,140,788,16,2,139,220,5,1357
31,S19S_0043_Wat,46,20,76,1354,32,9,245,92,9,1883
32,S19S_0044_Wat,49,16,277,1173,21,5,143,353,9,2046
39,S19S_0052_Wat,48,4,188,1079,29,5,154,282,4,1793
40,S19S_0053_Wat,93,33,263,1409,48,6,273,383,9,2517
41,S19S_0054_Wat,53,15,195,1017,24,8,186,249,6,1753
42,S19S_0055_Wat,96,46,189,1444,59,11,316,312,6,2479
45,S19S_0059_Wat,70,17,200,1272,27,8,214,382,20,2210
46,S19S_0060_Wat,51,10,179,1112,19,2,162,276,6,1817
47,S19S_0061_Wat,69,19,257,1188,28,3,233,327,3,2127
48,S19S_0062_Wat,52,8,297,1221,25,2,178,343,10,2136
50,S19S_0064_Wat,53,9,178,1095,44,5,210,259,6,1859
51,S19S_0065_Wat,67,15,242,1245,30,7,212,345,9,2172
53,S19S_0068_Wat,20,0,56,624,20,4,72,166,1,963
54,S19S_0069_Wat,32,1,157,987,38,12,136,256,10,1629
55,S19S_0070_Wat,30,4,226,1047,24,4,147,309,10,1801
56,S19S_0071_Wat,22,3,109,999,16,3,113,226,10,1501
57,S19S_0072_Wat,51,7,165,1171,23,5,173,277,6,1878
58,S19S_0073_Wat,77,23,337,1309,33,6,229,409,8,2431
62,S19S_0077_Wat,40,5,171,877,14,2,116,272,5,1502
63,S19S_0078_Wat,65,10,258,1155,58,12,243,366,11,2178
64,S19S_0079_Wat,92,30,197,1177,53,10,278,312,6,2155
65,S19S_0081_Wat,77,21,206,1348,52,7,284,294,11,2300
66,S19S_0082_Wat,87,21,222,1186,34,5,226,305,6,2092
67,S19S_0083_Wat,83,38,254,1372,42,5,292,292,6,2384
68,S19S_0084_Wat,24,3,171,1056,21,7,107,303,5,1697
69,S19S_0085_Wat,15,0,65,635,10,1,61,163,1,951
70,S19S_0087_Wat,48,6,323,1274,30,6,173,342,13,2215
71,S19S_0089_Wat,121,50,292,1318,78,5,415,230,7,2516
75,S19S_0097_Wat,55,5,129,1213,45,8,209,195,6,1865
76,S19S_0098_Wat,51,6,65,1095,35,14,192,154,16,1628
77,S19S_0099_Wat,96,35,115,1297,71,11,306,235,5,2171
