,Percent forest cover loss - PctFrstLoss,Mean hydraulic conductivity in catchment -- HydrlCondCat,Mean imperviousness of anthropogenic surfaces within catchment - PctImp,Precipitation gradient - SN,Open water land cover (in a catchment) - PctOw,Developed catchment area (Land use) - PctUrbOp,Woody wetland land cover -- PctWdWet,PctNonAgIntrodManagVegCat,30 year mean normal temperature - Tmean,30 year max normal temperature - Tmax,Mean annual stream temperature -- MAST,Mean summer stream temperature - MSST
AminoSugar,0.9999998523335507,0.889365269317923,0.008910297173310155,0.043686002166938076,0.7978522240042931,0.11417818159627013,0.574040136426349,0.12201407598535141,0.03488678960624236,0.0679404910574859,0.004105485265157194,0.0015814489771268647
Carb,0.37736888743337094,0.6441440673208949,0.04187416238361852,0.0652128317354661,0.9818205197811669,0.1595451355168609,0.3983408496110792,0.18419226522965215,0.04933655921910418,0.07655750012604634,0.01239484063619023,0.012639657168981522
ConcHC,0.745989072606799,0.48133795333664886,0.4674342772297706,0.7731557525030885,0.8010040567843257,0.8534909058039146,0.40609472827759174,0.7097088482691283,0.11734567623867798,0.0715354358948237,0.007384073732267904,0.07769190917771396
Lignin,0.9999994199609632,0.6410259659234265,0.21535648085040182,0.03176367776616029,0.8816578254159255,0.5769671951914273,0.8605627119565422,0.5783716511859054,0.13219690486076363,0.08374135101980729,0.003505253346180126,0.0027431555381602912
Lipid,0.99999978483666,0.45641120714701433,0.026773549671621932,0.07599474539444007,0.9024538898595789,0.038845883850397334,0.9819618926783611,0.0915568644960767,0.030144030256272547,0.07097874240866253,0.011179433406347528,0.00970184175498856
Other,0.9999996781154648,0.5183957474317564,0.9999996201222552,0.27861771049112805,0.7244663992021543,0.5591112843263133,0.9999996127587678,0.9999988102696993,0.5215243915544656,0.8699507087915872,0.5866616664778133,0.5614707342347169
Protein,0.6549701242371417,0.636876738633323,0.009624764960148635,0.018875838330777883,0.8706495916317234,0.0853761061008469,0.8090088980166836,0.06474579064839125,0.03857175036330385,0.08028131072474531,0.005732185212029561,0.001477134797357671
Tannin,0.9999994565290746,0.34916149740174074,0.4857047127732852,0.7082175430255195,0.8190545594335321,0.9423296889073483,0.7531060609238518,0.9999902951874127,0.3448929796198612,0.20559315803125378,0.031010005897609272,0.2912157866966938
UnsatHC,0.3734428760694004,0.9796185342796797,0.9999988151020547,0.8717569236541964,0.631726971535576,0.9999383541534455,0.9999986173908644,0.9999992555910115,0.3788482322336386,0.18288127494677253,0.23308154190171604,0.7724487509405833
SumAllCompounds,0.9999995434815714,0.7007015345031036,0.1433074147426021,0.09468906811647604,0.8570425686802046,0.4941884504138714,0.7644510034055236,0.5320221552318858,0.052693179794668144,0.0411980686721265,0.0010118070431328618,0.0027823302845366715
