,Latitude,DrainageArea,Elevation,Precipitation,Min basin elevation,ForestCover
AminoSugar,1198.6327173271866,48.37859575081809,92.89695520197775,36.80652674734941,70.2605310592285,71.05979557661946
Carb,28285.465464734712,12.141931628629015,35.47473765161748,9.950194386952562,21.079721174659547,25.657822205313586
ConcHC,19317.459157191937,181.1513652945053,331.9709719559415,349.77182609744546,243.05506462610026,115.06419612045404
Lignin,5438.902363135979,1083.4366629806414,1302.0372226194104,1454.1332939914716,1215.2210061053402,1391.761773869077
Lipid,689.1701419539488,29.4715076964418,45.39374085569996,10.718435016385376,38.69972699252427,43.47606637897044
Other,3.0717917624349522,6.589957957622083,6.666421066766926,1.1012738728901101,7.551846189048687,6.937477798487858
Protein,2448.749194440109,175.89227885797968,274.34953915089324,136.57543606954542,228.80602230024485,281.5048048881429
Tannin,3422.954553464207,259.7454333496517,398.4705010698863,418.6176564072515,327.52961512013206,175.35380494998162
UnsatHC,16487.513419484065,8.424776070868608,6.279509306005822,18.194026368698722,8.397774758749101,6.244982110574787
SumAllCompounds,18207.237954905937,1804.032670306265,2475.091129169055,2311.6340729076246,2163.123867605736,2059.913112491415
