,Avg_Water.Column.Height_cm,SW_pH,DO_perc.sat,DO_mg.per.L,SW_Temp_degC
AminoSugar,0.2291555392163891,1.1683660243132377,0.13191888265463547,0.013453738991194125,0.746076043487712
Carb,0.3538842416791683,2.154182770075567,-0.15927431314447374,-0.2305351668804762,1.3060017360205263
ConcHC,0.1407291703003192,-0.2950252723584438,-0.18684000705909765,-0.16068403347641522,0.3803864486936223
Lignin,0.07134657242232215,0.5584373887859205,-0.03561289753192576,-0.11268572097439228,0.19767015529755724
Lipid,0.183705657679092,1.6647008441370115,0.13149812945613476,-0.02517871247594033,0.6379058142090267
Other,-0.01596773318242492,0.8318250927718099,-0.21434162772855198,-0.3163336824981007,-0.13418424239706744
Protein,0.1835777887254626,1.3271676999920308,0.06691292427611852,-0.024038485471691625,0.5379853968193828
Tannin,0.1099899986835247,-0.5726329228351122,-0.10414494845547329,-0.1146194240321239,0.2202532818340921
UnsatHC,0.01168165214533498,0.6639442607794402,-0.4505662676224153,-0.5135556355413995,-0.11064525329527572
SumAllCompounds,0.1036742754314586,0.4254222885046255,-0.04689732836938432,-0.10690849004299217,0.2858653053783012
