,Latitude,AcutalET,SWT,MSST,AirTemp,PotentialET,WMT,WCH,WI,NaturalDischarge,DrainageArea
Amino Sugar,-0.829,0.723,0.746,1.09,0.52,0.721,0.33,0.229,0.138,0.114,0.0462
Carb,-2.05,1.61,1.31,2.27,1.18,1.51,0.81,0.354,0.256,0.166,0.0698
ConcHC,-1.25,0.247,0.38,0.47,0.26,0.544,0.185,0.141,0.0458,0.0466,0.0199
Lignin,-0.427,0.14,0.198,0.327,0.138,0.235,0.0809,0.0713,0.0393,0.0214,0.0135
Lipid,-0.822,0.761,0.638,0.924,0.423,0.612,0.363,0.184,0.137,0.109,0.0376
Other,0.199,0.295,-0.134,-0.162,-0.0119,-0.152,0.13,-0.016,2.72e-09,0.0229,-0.0102
Protein,-0.685,0.574,0.538,0.845,0.388,0.547,0.267,0.184,0.116,0.0891,0.0337
Tanin,-0.687,0.128,0.22,0.208,0.108,0.284,0.0764,0.11,1.44e-07,0.0312,0.0171
UnsatHC,-2.06,0.148,-0.111,-0.0972,-0.113,0.383,0.165,0.0117,5.14e-08,1.3e-08,0.00699
SumAllCompounds,-0.612,0.226,0.286,0.42,0.193,0.342,0.128,0.104,0.0525,0.0388,0.0187
